Rk,Uni,Name,Unnamed: 3,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,65.0,James Paxton,ca CA,Pitcher,*,NAN,35.28097908847384,L,L,"6' 4""",212,1988-11-06,2010,paxtoja01
2,18.0,Yoshinobu Yamamoto,jp JP,Pitcher,*,NAN,25.497417444638224,R,R,"5' 10""",176,1998-08-17,2017,redirect.fcgi?player=1&mlb_ID=808967
3,21.0,Walker Buehler,us US,Pitcher,*,NAN,29.554951691213564,R,R,"6' 2""",185,1994-07-28,2013,buehlwa01
4,31.0,Tyler Glasnow,us US,Pitcher,*,NAN,30.483718814501238,L,R,"6' 8""",225,1993-08-23,2012,glasnty01
5,26.0,Tony Gonsolin,us US,Pitcher,*,NAN,29.76043114326836,R,R,"6' 3""",205,1994-05-14,2013,gonsoto01
6,56.0,Ryan Yarbrough,us US,Pitcher,*,NAN,32.13029415696699,R,L,"6' 5""",215,1991-12-31,2013,yarbrry01
7,NAN,Ricky Vanasco,us US,Pitcher,*,NAN,25.34125306107658,R,R,"6' 3""",180,1998-10-13,2017,redirect.fcgi?player=1&mlb_ID=676568
8,NAN,Nick Frasso,us US,Pitcher,*,NAN,25.327554430939593,R,R,"6' 5""",200,1998-10-18,2018,redirect.fcgi?player=1&mlb_ID=693308
9,78.0,Michael Grove,us US,Pitcher,*,NAN,27.160431143268358,R,R,"6' 3""",200,1996-12-18,2016,grovemi01
10,NAN,Matt Gage,us US,Pitcher,*,NAN,31.012485937788906,L,L,"6' 3""",265,1993-02-11,2012,gagema01
11,NAN,Landon Knack,us US,Pitcher,*,NAN,26.587828403542332,L,R,"6' 2""",220,1997-07-15,2019,redirect.fcgi?player=1&mlb_ID=689017
12,63.0,Kyle Hurt,us US,Pitcher,*,NAN,25.713855800802605,R,R,"6' 3""",240,1998-05-30,2018,hurtky01
13,NAN,Joe Kelly,us US,Pitcher,*,NAN,35.691937992583426,R,R,"6' 1""",174,1988-06-09,2009,kellyjo05
14,45.0,J.P. Feyereisen,us US,Pitcher,*,NAN,31.023444841898495,R,R,"6' 2""",215,1993-02-07,2013,feyerjo01
15,58.0,Gus Varland,us US,Pitcher,*,NAN,27.275499636419045,L,R,"6' 1""",213,1996-11-06,2016,varlagu01
16,51.0,Alex Vesia,us US,Pitcher,*,NAN,27.84810237614507,L,L,"6' 1""",209,1996-04-11,2015,vesiaal01
17,49.0,Blake Treinen,us US,Pitcher,*,NAN,35.63440374600808,R,R,"6' 5""",225,1988-06-30,2011,treinbl01
18,59.0,Evan Phillips,us US,Pitcher,*,NAN,29.431664019980687,R,R,"6' 2""",215,1994-09-11,2013,phillev01
19,80.0,Emmet Sheehan,us US,Pitcher,*,NAN,24.25084210217247,R,R,"6' 5""",220,1999-11-15,2018,sheehem01
20,85.0,Dustin May,us US,Pitcher,*,NAN,26.442622924090276,R,R,"6' 6""",180,1997-09-06,2016,maydu01
21,28.0,Bobby Miller,us US,Pitcher,*,NAN,24.864540732309454,L,R,"6' 5""",220,1999-04-05,2018,millebo06
22,48.0,Brusdar Graterol,ve VE,Pitcher,*,NAN,25.472759910391648,R,R,"6' 1""",265,1998-08-26,2015,gratebr01
23,71.0,Gavin Stone,us US,Pitcher,*,NAN,25.335773609021786,R,R,"6' 1""",175,1998-10-15,2018,stonega01
24,13.0,Max Muncy,us US,Position,*,NAN,33.48097908847384,L,R,"6' 0""",215,1990-08-25,2010,muncyma01
25,17.0,Shohei Ohtani,jp JP,Position,*,NAN,29.6179653898437,L,R,"6' 4""",210,1994-07-05,2013,ohtansh01
26,16.0,Will Smith,us US,Position,*,NAN,28.88919826655603,R,R,"5' 10""",195,1995-03-28,2014,smithwi05
27,84.0,Andy Pages,cu CU,Position,*,NAN,23.185088677514933,R,R,"6' 1""",212,2000-12-08,2018,redirect.fcgi?player=1&mlb_ID=681624
28,15.0,Austin Barnes,us US,Position,*,NAN,34.13851333504918,R,R,"5' 10""",187,1989-12-28,2011,barneau01
29,50.0,Mookie Betts,us US,Position,*,NAN,31.36043114326836,R,R,"5' 9""",180,1992-10-07,2011,bettsmo01
30,NAN,Miguel Vargas,cu CU,Position,*,NAN,24.245362650117674,R,R,"6' 3""",205,1999-11-17,2014,vargami01
31,11.0,Miguel Rojas,ve VE,Position,*,NAN,34.97960922546014,R,R,"6' 0""",188,1989-02-24,2006,rojasmi02
32,3.0,Chris Taylor,us US,Position,*,NAN,33.47002018436425,R,R,"6' 1""",196,1990-08-29,2011,tayloch03
33,76.0,Diego Cartaya,ve VE,Position,*,NAN,22.437143472035483,R,R,"6' 3""",219,2001-09-07,2019,redirect.fcgi?player=1&mlb_ID=682616
34,25.0,Manuel Margot,do DO,Position,*,NAN,29.385088677514936,R,R,"5' 11""",180,1994-09-28,2012,margoma01
35,23.0,Jason Heyward,us US,Position,*,NAN,34.524814704912195,L,L,"6' 5""",240,1989-08-09,2007,heywaja01
36,NAN,Teoscar Hernández,do DO,Position,*,NAN,31.338513335049182,R,R,"6' 2""",215,1992-10-15,2011,hernate01
37,33.0,James Outman,us US,Position,*,NAN,26.757691417240963,L,R,"6' 3""",215,1997-05-14,2016,outmaja01
38,5.0,Freddie Freeman,us US,Position,*,NAN,34.43166401998069,L,R,"6' 5""",220,1989-09-12,2007,freemfr01
39,NAN,Hunter Feduccia,us US,Position,*,NAN,26.697417444638223,L,R,"6' 0""",215,1997-06-05,2016,redirect.fcgi?player=1&mlb_ID=676439
40,9.0,Gavin Lux,us US,Position,*,NAN,26.22892429395329,L,R,"6' 2""",190,1997-11-23,2016,luxga01
