yearID,lgID,franchID,divID,Rank,G,Ghome,W,L
2006,NL,ARI,W,4,162,81,76,86
2006,NL,ATL,E,3,162,81,79,83
2006,NL,CHC,C,6,162,81,66,96
2006,NL,CIN,C,3,162,82,80,82
2006,NL,COL,W,4,162,81,76,86
2006,NL,FLA,E,4,162,81,78,84
2006,NL,HOU,C,2,162,81,82,80
2006,NL,LAD,W,2,162,81,88,74
2006,NL,MIL,C,4,162,81,75,87
2006,NL,NYM,E,1,162,81,97,65
2006,NL,PHI,E,2,162,81,85,77
2006,NL,PIT,C,5,162,81,67,95
2006,NL,SDP,W,1,162,81,88,74
2006,NL,SFG,W,3,161,81,76,85
2006,NL,STL,C,1,161,80,83,78
2006,NL,WSN,E,5,162,81,71,91
2007,NL,ARI,W,1,162,81,90,72
2007,NL,ATL,E,3,162,81,84,78
2007,NL,CHC,C,1,162,81,85,77
2007,NL,CIN,C,5,162,81,72,90
2007,NL,COL,W,2,163,82,90,73
2007,NL,FLA,E,5,162,81,71,91
2007,NL,HOU,C,4,162,81,73,89
2007,NL,LAD,W,4,162,81,82,80
2007,NL,MIL,C,2,162,81,83,79
2007,NL,NYM,E,2,162,81,88,74
2007,NL,PHI,E,1,162,81,89,73
2007,NL,PIT,C,6,162,81,68,94
2007,NL,SDP,W,3,163,81,89,74
2007,NL,SFG,W,5,162,81,71,91
2007,NL,STL,C,3,162,81,78,84
2007,NL,WSN,E,4,162,81,73,89
2008,NL,ARI,W,2,162,81,82,80
2008,NL,ATL,E,4,162,81,72,90
2008,NL,CHC,C,1,161,81,97,64
2008,NL,CIN,C,5,162,81,74,88
2008,NL,COL,W,3,162,81,74,88
2008,NL,FLA,E,3,161,81,84,77
2008,NL,HOU,C,3,161,80,86,75
2008,NL,LAD,W,1,162,81,84,78
2008,NL,MIL,C,2,162,81,90,72
2008,NL,NYM,E,2,162,81,89,73
2008,NL,PHI,E,1,162,81,92,70
2008,NL,PIT,C,6,162,81,67,95
2008,NL,SDP,W,5,162,81,63,99
2008,NL,SFG,W,4,162,81,72,90
2008,NL,STL,C,4,162,81,86,76
2008,NL,WSN,E,5,161,80,59,102
2009,NL,ARI,W,5,162,81,70,92
2009,NL,ATL,E,3,162,81,86,76
2009,NL,CHC,C,2,161,80,83,78
2009,NL,CIN,C,4,162,81,78,84
2009,NL,COL,W,2,162,81,92,70
2009,NL,FLA,E,2,162,81,87,75
2009,NL,HOU,C,5,162,81,74,88
2009,NL,LAD,W,1,162,81,95,67
2009,NL,MIL,C,3,162,81,80,82
2009,NL,NYM,E,4,162,81,70,92
2009,NL,PHI,E,1,162,81,93,69
2009,NL,PIT,C,6,161,81,62,99
2009,NL,SDP,W,4,162,81,75,87
2009,NL,SFG,W,3,162,81,88,74
2009,NL,STL,C,1,162,81,91,71
2009,NL,WSN,E,5,162,81,59,103
2010,NL,ARI,W,5,162,81,65,97
2010,NL,ATL,E,2,162,81,91,71
2010,NL,CHC,C,5,162,81,75,87
2010,NL,CIN,C,1,162,81,91,71
2010,NL,COL,W,3,162,81,83,79
2010,NL,FLA,E,3,162,81,80,82
2010,NL,HOU,C,4,162,81,76,86
2010,NL,LAD,W,4,162,81,80,82
2010,NL,MIL,C,3,162,81,77,85
2010,NL,NYM,E,4,162,81,79,83
2010,NL,PHI,E,1,162,84,97,65
2010,NL,PIT,C,6,162,81,57,105
2010,NL,SDP,W,2,162,81,90,72
2010,NL,SFG,W,1,162,81,92,70
2010,NL,STL,C,2,162,81,86,76
2010,NL,WSN,E,5,162,81,69,93
2011,NL,ARI,W,1,162,81,94,68
2011,NL,ATL,E,2,162,81,89,73
2011,NL,CHC,C,5,162,81,71,91
2011,NL,CIN,C,3,162,81,79,83
2011,NL,COL,W,4,162,81,73,89
2011,NL,FLA,E,5,162,78,72,90
2011,NL,HOU,C,6,162,81,56,106
2011,NL,LAD,W,3,161,81,82,79
2011,NL,MIL,C,1,162,81,96,66
2011,NL,NYM,E,4,162,81,77,85
2011,NL,PHI,E,1,162,81,102,60
2011,NL,PIT,C,4,162,81,72,90
2011,NL,SDP,W,5,162,81,71,91
2011,NL,SFG,W,2,162,81,86,76
2011,NL,STL,C,2,162,81,90,72
2011,NL,WSN,E,3,161,80,80,81
2012,NL,ARI,W,3,162,81,81,81
2012,NL,ATL,E,2,162,81,94,68
2012,NL,CHC,C,5,162,81,61,101
2012,NL,CIN,C,1,162,81,97,65
2012,NL,COL,W,5,162,81,64,98
2012,NL,HOU,C,6,162,81,55,107
2012,NL,LAD,W,2,162,81,86,76
2012,NL,FLA,E,5,162,81,69,93
2012,NL,MIL,C,3,162,81,83,79
2012,NL,NYM,E,4,162,81,74,88
2012,NL,PHI,E,3,162,81,81,81
2012,NL,PIT,C,4,162,81,79,83
2012,NL,SDP,W,4,162,81,76,86
2012,NL,SFG,W,1,162,81,94,68
2012,NL,STL,C,2,162,81,88,74
2012,NL,WSN,E,1,162,81,98,64
2013,NL,ARI,W,2,162,81,81,81
2013,NL,ATL,E,1,162,81,96,66
2013,NL,CHC,C,5,162,81,66,96
2013,NL,CIN,C,3,162,80,90,72
2013,NL,COL,W,5,162,81,74,88
2013,NL,LAD,W,1,162,81,92,70
2013,NL,FLA,E,5,162,81,62,100
2013,NL,MIL,C,4,162,81,74,88
2013,NL,NYM,E,4,162,81,74,88
2013,NL,PHI,E,4,162,81,73,89
2013,NL,PIT,C,2,162,81,94,68
2013,NL,SDP,W,3,162,81,76,86
2013,NL,SFG,W,4,162,82,76,86
2013,NL,STL,C,1,162,81,97,65
2013,NL,WSN,E,2,162,81,86,76
2014,NL,ARI,W,5,162,81,64,98
2014,NL,ATL,E,2,162,81,79,83
2014,NL,CHC,C,5,162,81,73,89
2014,NL,CIN,C,4,162,81,76,86
2014,NL,COL,W,4,162,81,66,96
2014,NL,LAD,W,1,162,81,94,68
2014,NL,FLA,E,4,162,81,77,85
2014,NL,MIL,C,3,162,81,82,80
2014,NL,NYM,E,3,162,81,79,83
2014,NL,PHI,E,5,162,81,73,89
2014,NL,PIT,C,2,162,81,88,74
2014,NL,SDP,W,3,162,81,77,85
2014,NL,SFG,W,2,162,81,88,74
2014,NL,STL,C,1,162,81,90,72
2014,NL,WSN,E,1,162,81,96,66
2015,NL,ARI,W,3,162,81,79,83
2015,NL,ATL,E,4,162,81,67,95
2015,NL,CHC,C,3,162,81,97,65
2015,NL,CIN,C,5,162,81,64,98
2015,NL,COL,W,5,162,81,68,94
2015,NL,LAD,W,1,162,81,92,70
2015,NL,FLA,E,3,162,81,71,91
2015,NL,MIL,C,4,162,81,68,94
2015,NL,NYM,E,1,162,81,90,72
2015,NL,PHI,E,5,162,81,63,99
2015,NL,PIT,C,2,162,81,98,64
2015,NL,SDP,W,4,162,81,74,88
2015,NL,SFG,W,2,162,81,84,78
2015,NL,STL,C,1,162,81,100,62
2015,NL,WSN,E,2,162,81,83,79
2016,NL,ARI,W,4,162,81,69,93
2016,NL,ATL,E,5,161,81,68,93
2016,NL,CHC,C,1,162,81,103,58
2016,NL,CIN,C,5,162,81,68,94
2016,NL,COL,W,3,162,81,75,87
2016,NL,LAD,W,1,162,81,91,71
2016,NL,FLA,E,3,161,80,79,82
2016,NL,MIL,C,4,162,81,73,89
2016,NL,NYM,E,2,162,81,87,75
2016,NL,PHI,E,4,162,81,71,91
2016,NL,PIT,C,3,162,81,78,83
2016,NL,SDP,W,5,162,81,68,94
2016,NL,SFG,W,2,162,81,87,75
2016,NL,STL,C,2,162,81,86,76
2016,NL,WSN,E,1,162,81,95,67
2017,NL,ARI,W,2,162,81,93,69
2017,NL,ATL,E,3,162,81,72,90
2017,NL,CHC,C,1,162,81,92,70
2017,NL,CIN,C,5,162,81,68,94
2017,NL,COL,W,3,162,81,87,75
2017,NL,LAD,W,1,162,81,104,58
2017,NL,FLA,E,2,162,78,77,85
2017,NL,MIL,C,2,162,84,86,76
2017,NL,NYM,E,4,162,81,70,92
2017,NL,PHI,E,5,162,81,66,96
2017,NL,PIT,C,4,162,81,75,87
2017,NL,SDP,W,4,162,81,71,91
2017,NL,SFG,W,5,162,81,64,98
2017,NL,STL,C,3,162,81,83,79
2017,NL,WSN,E,1,162,81,97,65
2018,NL,ARI,W,3,162,81,82,80
2018,NL,ATL,E,1,162,81,90,72
2018,NL,CHC,C,2,163,82,95,68
2018,NL,CIN,C,5,162,81,67,95
2018,NL,COL,W,2,163,81,91,72
2018,NL,LAD,W,1,163,82,92,71
2018,NL,FLA,E,5,161,81,63,98
2018,NL,MIL,C,1,163,81,96,67
2018,NL,NYM,E,4,162,81,77,85
2018,NL,PHI,E,3,162,81,80,82
2018,NL,PIT,C,4,161,80,82,79
2018,NL,SDP,W,5,162,81,66,96
2018,NL,SFG,W,4,162,81,73,89
2018,NL,STL,C,3,162,81,88,74
2018,NL,WSN,E,2,162,81,82,80
